policy,kind,seed,seed_index,step,sim_time,decision_count,wip,jobs_exited,action,rule,entropy,chosen_prob,p_SPT-SMPT,p_SPT-SRWT,p_LPT-MMUR,p_LPT-SMPT,p_SRT-SRWT,p_SRT-SMPT,p_LRT-MMUR,p_FIFO-SRWT
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,82,479.02,83,3,12,6,LRT-MMUR,2.04621,0.16344,0.1626,0.15446,0.09988,0.09351,0.07659,0.11108,0.16344,0.13843
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,83,489.88,84,3,12,0,SPT-SMPT,2.04325,0.16441,0.16441,0.15178,0.09968,0.08827,0.07749,0.10741,0.16369,0.14727
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,84,498.46,85,2,13,6,LRT-MMUR,2.04147,0.18031,0.15972,0.15041,0.09667,0.09902,0.07191,0.11313,0.18031,0.12883
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,85,516.58,86,2,13,0,SPT-SMPT,2.04315,0.16405,0.16405,0.15621,0.09928,0.08745,0.07823,0.10707,0.16082,0.14689
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,0,0.02,1,15,0,1,SPT-SRWT,1.80734,0.28727,0.01896,0.28727,0.0917,0.10754,0.15692,0.01286,0.22147,0.10329
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,1,0.02,2,15,0,1,SPT-SRWT,1.81136,0.28524,0.01885,0.28524,0.09332,0.10742,0.15884,0.01325,0.2189,0.10418
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,2,0.02,3,15,0,1,SPT-SRWT,1.81505,0.28323,0.01877,0.28323,0.09495,0.10723,0.16077,0.01365,0.21662,0.10478
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,3,0.02,4,15,0,1,SPT-SRWT,1.81936,0.28083,0.01867,0.28083,0.09702,0.10694,0.16314,0.01414,0.21394,0.10532
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,4,0.02,5,15,0,1,SPT-SRWT,1.82531,0.27765,0.01855,0.27765,0.10004,0.10658,0.16627,0.01489,0.20995,0.10607
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,5,0.02,6,15,0,1,SPT-SRWT,1.83276,0.2738,0.0184,0.2738,0.1042,0.10611,0.17007,0.01594,0.20456,0.10691
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,6,0.02,7,15,0,1,SPT-SRWT,1.83942,0.26995,0.01828,0.26995,0.10844,0.10544,0.17411,0.01705,0.19969,0.10704
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,7,0.02,8,15,0,1,SPT-SRWT,1.8466,0.26568,0.01815,0.26568,0.11362,0.10457,0.17873,0.01846,0.194,0.10679
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,8,0.02,9,15,0,1,SPT-SRWT,1.85383,0.26124,0.01803,0.26124,0.11965,0.10349,0.18368,0.02018,0.18766,0.10608
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,9,0.02,10,15,0,1,SPT-SRWT,1.86044,0.257,0.01792,0.257,0.12617,0.10222,0.18853,0.02213,0.18114,0.1049
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,10,0.02,11,15,0,1,SPT-SRWT,1.8658,0.25334,0.01782,0.25334,0.13264,0.10084,0.1928,0.02414,0.17509,0.10332
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,11,0.02,12,15,0,1,SPT-SRWT,1.86965,0.25054,0.01775,0.25054,0.13851,0.09946,0.19612,0.026,0.17004,0.10158
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,12,0.02,13,15,0,1,SPT-SRWT,1.87183,0.24875,0.01771,0.24875,0.14334,0.09813,0.19837,0.02748,0.16647,0.09975
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,13,0.02,14,15,0,1,SPT-SRWT,1.87667,0.24649,0.0177,0.24649,0.1476,0.09809,0.19927,0.02926,0.16081,0.10078
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,14,0.02,15,15,0,1,SPT-SRWT,1.87688,0.24603,0.0177,0.24603,0.15045,0.09704,0.20007,0.03001,0.15952,0.09919
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,15,24.88,16,15,0,3,LPT-SMPT,1.62224,0.39381,0.01092,0.05609,0.08211,0.39381,0.19162,0.01261,0.04584,0.20701
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,16,28.04,17,15,0,4,SRT-SRWT,1.72696,0.34156,0.00828,0.10503,0.17808,0.19709,0.34156,0.01739,0.05373,0.09884
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,17,32.1,18,15,0,3,LPT-SMPT,1.73677,0.27901,0.01162,0.15154,0.05346,0.27901,0.26412,0.01717,0.06034,0.16274
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,18,34.9,19,15,0,4,SRT-SRWT,1.71449,0.38891,0.0092,0.14249,0.17379,0.12035,0.38891,0.02791,0.07297,0.06438
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,19,38.52,20,15,0,3,LPT-SMPT,1.59027,0.40881,0.01057,0.04934,0.06845,0.40881,0.22838,0.00948,0.0571,0.16787
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,20,43.1,21,15,0,3,LPT-SMPT,1.66154,0.34954,0.0103,0.05136,0.1085,0.34954,0.25967,0.00958,0.06533,0.14573
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,21,43.68,22,15,0,4,SRT-SRWT,1.67923,0.29498,0.00781,0.08117,0.27216,0.20279,0.29498,0.02446,0.02324,0.09339
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,22,49.62,23,15,0,7,FIFO-SRWT,1.27384,0.56284,0.03147,0.05572,0.01261,0.26235,0.02567,0.01725,0.03209,0.56284
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,23,51.12,24,15,0,7,FIFO-SRWT,1.54291,0.44646,0.18856,0.01939,0.04227,0.20327,0.01818,0.04401,0.03785,0.44646
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,24,63.22,25,15,0,3,LPT-SMPT,1.10842,0.5105,0.0238,0.01147,0.01167,0.5105,0.01715,0.00573,0.03049,0.38918
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,25,68.7,26,15,0,7,FIFO-SRWT,1.77068,0.28167,0.02656,0.07257,0.11836,0.26298,0.16275,0.01218,0.06295,0.28167
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,26,77.74,27,15,0,3,LPT-SMPT,1.75509,0.28502,0.04449,0.09385,0.03042,0.28502,0.13419,0.00706,0.13829,0.26668
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,27,77.74,28,15,0,3,LPT-SMPT,1.78332,0.26652,0.04161,0.08127,0.04388,0.26652,0.15307,0.00928,0.13961,0.26476
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,28,80.3,29,15,0,7,FIFO-SRWT,1.52179,0.44869,0.18156,0.02036,0.02773,0.21931,0.02795,0.02528,0.04913,0.44869
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,29,90.54,30,15,0,2,LPT-MMUR,1.66631,0.3174,0.03968,0.0351,0.3174,0.21663,0.10447,0.01221,0.02359,0.25091
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,30,93.7,31,15,0,7,FIFO-SRWT,1.01865,0.67778,0.03904,0.02259,0.01239,0.21136,0.01072,0.00797,0.01815,0.67778
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,31,93.7,32,15,0,7,FIFO-SRWT,1.054,0.65657,0.04386,0.01999,0.0148,0.22705,0.01021,0.00953,0.01798,0.65657
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,32,96.62,33,15,0,0,SPT-SMPT,1.45284,0.54289,0.54289,0.0087,0.02257,0.08038,0.0299,0.10553,0.15409,0.05594
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,33,102.2,34,15,0,0,SPT-SMPT,1.50432,0.50906,0.50906,0.0255,0.1275,0.03929,0.01697,0.09581,0.02352,0.16234
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,34,109.44,35,15,0,3,LPT-SMPT,1.48042,0.48248,0.05343,0.02145,0.02171,0.48248,0.08562,0.00629,0.096,0.23303
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,35,115.94,36,15,0,3,LPT-SMPT,1.24127,0.44576,0.04192,0.01586,0.01121,0.44576,0.02806,0.0056,0.04379,0.4078
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,36,117.72,37,15,0,7,FIFO-SRWT,1.07384,0.71119,0.0564,0.06482,0.01731,0.10468,0.02088,0.00559,0.01912,0.71119
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,37,117.72,38,15,0,7,FIFO-SRWT,1.07375,0.71293,0.05821,0.05366,0.02204,0.10779,0.02054,0.00648,0.01836,0.71293
